name,experience,skills,interview_feedback,reason_not_hired,stage,year_applied,job_code,module_scores,modules_interview,location,level
Melissa Castro,"['Developed recommendation algorithms, improving user engagement by 30%']","AWS, Flask, Azure Data Factory, Java","['Positively accepts and applies feedback', 'Strong attention to detail', 'Composed under pressure']",Better candidate found,Applied,2018,ML02,3.5,"['System design', 'Coding and Algorithm', 'SQL']","Austin, TX",Senior
Dwayne Adams,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","Docker, AWS, Azure Data Factory, Data Science, JavaScript","['Shows initiative and ownership', 'Requires extra support in learning', 'Collaborative team player']",Salary mismatch,Phone Screen,2018,AppSWE03,3.0,"['System design', 'Coding and Algorithm', 'Product and UI']","San Francisco, CA",Staff
Jessica Roberts,"['Enhanced search algorithms to reduce query response time by 50%', 'Designed algorithms to increase personalized content relevance by 25%']","Flask, Django, C++",['Hesitant in decision-making'],Better candidate found,TPS1,2025,AppSWE03,3.1,['Technical Writing'],"Sunnyvale, CA",Senior
Brenda Lopez,"['Created a customer segmentation model, boosting revenue by 32%', 'Utilized reinforcement learning to enhance recommendation engine']","Docker, TensorFlow","['Composed under pressure', 'Collaborative team player', 'Tends to give up on difficult tasks']",Better candidate found,Applied,2022,SWE,4.0,"['Coding and Algorithm', 'Technical Writing']","Sunnyvale, CA",Mid-senior
Bryan Walls,"['Enhanced search algorithms to reduce query response time by 50%', 'Leveraged federated learning for secure multi-organization data sharing']","Java, Python",['Struggles with team dynamics'],Offer declined,TPS2,2018,DS001,2.5,"['Product and UI', 'Coding and Algorithm']","Seattle, WA",Manager
Rebecca Chan,['Designed algorithms to increase personalized content relevance by 25%'],"Azure Data Factory, TensorFlow, Django, AWS, SQL","['Easily flustered in high-stress situations', 'Quick to learn new tools and processes']",Other,TPS2,2019,ML09,2.0,"['Technical Writing', 'Data Analysis', 'System design']","San Francisco, CA",Mid-senior
Michael Campbell,"['Designed algorithms to increase personalized content relevance by 25%', 'Enhanced search algorithms to reduce query response time by 50%']","React, JavaScript, SQL","['Tends to give up on difficult tasks', 'Needs guidance to take initiative']",Better candidate found,TPS1,2020,AIC01,4.2,"['System design', 'SQL', 'Coding and Algorithm']","Mountain View, CA",Manager
Timothy Martinez,"['Utilized reinforcement learning to enhance recommendation engine', 'Optimized deep learning models for real-time predictions in search']","PyTorch, AWS, TensorFlow, Machine Learning","['Hesitant in decision-making', 'Prefers structured environments']",Better candidate found,Applied,2023,DS001,2.0,"['SQL', 'Technical Writing']","Austin, TX",Entry-level
Lucas Allison,"['Implemented collaborative filtering and matrix factorization techniques', 'Designed algorithms to increase personalized content relevance by 25%']","Java, Docker, Data Science, React, Django",['Prone to overlook minor details'],Location mismatch,TPS1,2022,SWE01,4.0,"['Technical Writing', 'Coding and Algorithm', 'Product and UI']",Remote,Senior
Jeremy Roy,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","Django, Data Science",['Resistant to constructive feedback'],Job closed,Additional Onsite,2024,DS001,5.0,"['Technical Writing', 'Data Analysis', 'SQL']","Sunnyvale, CA",Senior
Lisa Elliott,"['Enhanced search algorithms to reduce query response time by 50%', 'Optimized deep learning models for real-time predictions in search']","Azure Data Factory, Python, C++, Machine Learning, Flask",['Needs guidance to take initiative'],Lack of required skills,Offered,2020,SWE01,3.0,['Data Analysis'],"Mountain View, CA",Senior
Carlos Hill,['Leveraged federated learning for secure multi-organization data sharing'],"Python, Django, React","['Resistant to constructive feedback', 'Confident in stakeholder interactions', 'Requires extra support in learning']",Offer declined,TPS2,2020,DS001,4.0,"['System design', 'Technical Writing', 'Data Analysis']","Seattle, WA",Staff
Jason Morris,"['Built scalable NLP pipeline for sentiment analysis with 92% accuracy', 'Implemented collaborative filtering and matrix factorization techniques']","TensorFlow, C++, Java, Data Science, SQL","['Prefers structured environments', 'Persistent and resilient']",Other,TPS1,2025,SWE01,1.2,"['SQL', 'Data Analysis', 'System design']",Remote,Entry-level
Lindsay Smith,['Enhanced search algorithms to reduce query response time by 50%'],"Flask, SQL, Docker, AWS","['Needs guidance to take initiative', 'Adaptable to ambiguity']",Salary mismatch,Additional Onsite,2023,SWE01,3.5,"['Technical Writing', 'Coding and Algorithm']","San Francisco, CA",Entry-level
Beth Yu,"['Built scalable NLP pipeline for sentiment analysis with 92% accuracy', 'Developed recommendation algorithms, improving user engagement by 30%']","AWS, Data Science, PyTorch, SQL",['Needs guidance to take initiative'],Lack of required skills,TPS1,2018,SWE01,3.0,"['Coding and Algorithm', 'SQL', 'System design']","New York, NY",Mid-senior
Michael Watts,['Enhanced search algorithms to reduce query response time by 50%'],"React, C++, Flask, Data Science",['Shows initiative and ownership'],Salary mismatch,Applied,2020,DS003,5.0,"['Coding and Algorithm', 'Technical Writing', 'SQL']","San Francisco, CA",Staff
Steven Mcdonald,"['Created a customer segmentation model, boosting revenue by 32%', 'Designed algorithms to increase personalized content relevance by 25%']","Data Science, PyTorch, React, C++","['Shows initiative and ownership', 'Hesitant in decision-making', 'Struggles with team dynamics']",Lack of required skills,TPS2,2024,DS001,4.2,['Product and UI'],"New York, NY",Senior
Diana Brown,"['Implemented collaborative filtering and matrix factorization techniques', 'Enhanced search algorithms to reduce query response time by 50%']","Flask, Django, Machine Learning, Docker, C++","['Resistant to constructive feedback', 'Easily flustered in high-stress situations']",Location mismatch,TPS2,2019,SWE,4.0,"['Technical Writing', 'Product and UI']","Sunnyvale, CA",Staff
Lauren Robinson,['Designed algorithms to increase personalized content relevance by 25%'],"PyTorch, SQL, Data Science, Docker","['Adaptable to ambiguity', 'Needs guidance to take initiative', 'Requires extra support in learning']",Better candidate found,Offered,2018,AppSWE03,4.0,"['Technical Writing', 'Product and UI']",Remote,Senior
Karen Brown,['Designed algorithms to increase personalized content relevance by 25%'],"AWS, Docker, TensorFlow, Data Science, C++","['Prefers structured environments', 'Confident in stakeholder interactions', 'Needs guidance to take initiative']",Lack of required skills,TPS1,2018,AIC01,3.5,"['Data Analysis', 'SQL', 'Product and UI']","Mountain View, CA",Entry-level
Tiffany Carroll,"['Developed recommendation algorithms, improving user engagement by 30%', 'Utilized reinforcement learning to enhance recommendation engine']","SQL, React, Flask",['Hesitant in decision-making'],Insufficient experience,Onsite,2023,SWE01,2.0,"['System design', 'Data Analysis']",Remote,Sr-Staff
Blake Gray,"['Developed recommendation algorithms, improving user engagement by 30%']","Java, Flask, TensorFlow","['Quick to learn new tools and processes', 'Collaborative team player']",Location mismatch,Offered,2022,DS003,4.2,['SQL'],"Seattle, WA",Entry-level
Jacob Rice,"['Created a customer segmentation model, boosting revenue by 32%']","React, Docker","['Tends to give up on difficult tasks', 'Struggles with team dynamics']",Other,Onsite,2022,AIC01,2.0,"['Data Analysis', 'SQL', 'System design']",Remote,Entry-level
Sherry Raymond,['Leveraged federated learning for secure multi-organization data sharing'],"Java, Python","['Prefers structured environments', 'Collaborative team player']",Job closed,Phone Screen,2023,SWE,1.2,"['SQL', 'Data Analysis', 'System design']","Seattle, WA",Senior
Patrick Warren,['Designed algorithms to increase personalized content relevance by 25%'],"Django, JavaScript, C++",['Struggles with team dynamics'],Location mismatch,Rejected,2023,DS001,2.0,"['Technical Writing', 'SQL']","New York, NY",Senior
Lisa Brown,['Enhanced search algorithms to reduce query response time by 50%'],"Docker, C++, JavaScript, SQL","['Struggles with team dynamics', 'Shows initiative and ownership']",Salary mismatch,Onsite,2021,SWE,4.0,"['Coding and Algorithm', 'Product and UI', 'System design']","Sunnyvale, CA",Mid-senior
Jessica Reyes,"['Developed recommendation algorithms, improving user engagement by 30%', 'Leveraged federated learning for secure multi-organization data sharing']","AWS, PyTorch, Java","['Prefers structured environments', 'Collaborative team player']",Offer declined,TPS2,2022,ML02,3.1,"['Coding and Algorithm', 'Technical Writing', 'SQL']","Sunnyvale, CA",Entry-level
Robert Kennedy,"['Created a customer segmentation model, boosting revenue by 32%']","React, Python, SQL, Flask","['Composed under pressure', 'Resistant to constructive feedback']",Offer declined,Applied,2019,SWE,2.0,"['Technical Writing', 'Product and UI']","San Francisco, CA",Senior
Robyn Grimes,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)', 'Developed recommendation algorithms, improving user engagement by 30%']","Flask, Data Science, Python","['Adaptable to ambiguity', 'Strong attention to detail']",Location mismatch,Applied,2024,ML09,3.1,"['Data Analysis', 'System design']",Remote,Entry-level
Jane Holder,"['Implemented collaborative filtering and matrix factorization techniques', 'Built scalable NLP pipeline for sentiment analysis with 92% accuracy']","Django, SQL",['Confident in stakeholder interactions'],Cultural fit issues,TPS2,2020,AIC01,2.0,['Technical Writing'],"New York, NY",Mid-senior
Annette Thomas,"['Utilized reinforcement learning to enhance recommendation engine', 'Implemented collaborative filtering and matrix factorization techniques']","AWS, TensorFlow","['Easily flustered in high-stress situations', 'Needs guidance to take initiative']",Job closed,Offered,2025,SWE,4.0,"['System design', 'Coding and Algorithm', 'Technical Writing']","Mountain View, CA",Senior
Hannah Smith,['Enhanced search algorithms to reduce query response time by 50%'],"Machine Learning, TensorFlow, Java, Azure Data Factory",['Shows initiative and ownership'],Other,Rejected,2019,ML02,4.2,['Product and UI'],"San Francisco, CA",Senior
Jesus Collins,"['Leveraged federated learning for secure multi-organization data sharing', 'Utilized reinforcement learning to enhance recommendation engine']","TensorFlow, AWS, JavaScript, Data Science, SQL","['Collaborative team player', 'Tends to give up on difficult tasks', 'Hesitant in decision-making']",Location mismatch,Applied,2020,SWE,1.2,"['Product and UI', 'SQL']","San Francisco, CA",Sr-Staff
Courtney Hutchinson,"['Built scalable NLP pipeline for sentiment analysis with 92% accuracy', 'Utilized reinforcement learning to enhance recommendation engine']","Machine Learning, C++, AWS, Docker, Django","['Composed under pressure', 'Requires extra support in learning', 'Prefers structured environments']",Job closed,TPS1,2023,DS003,4.0,['Coding and Algorithm'],"Mountain View, CA",Manager
Derrick Stafford,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)', 'Utilized reinforcement learning to enhance recommendation engine']","Machine Learning, TensorFlow","['Persistent and resilient', 'Shows initiative and ownership', 'Collaborative team player']",Other,Phone Screen,2023,SWE01,1.2,"['Coding and Algorithm', 'SQL']","Austin, TX",Entry-level
Allison Mcclure,"['Built scalable NLP pipeline for sentiment analysis with 92% accuracy', 'Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","Flask, Java, PyTorch, SQL","['Tends to give up on difficult tasks', 'Adaptable to ambiguity', 'Composed under pressure']",Location mismatch,Onsite,2022,AIC01,3.1,"['SQL', 'System design', 'Data Analysis']","Sunnyvale, CA",Mid-senior
Dr. Peter Kerr Jr.,"['Created a customer segmentation model, boosting revenue by 32%']","Azure Data Factory, SQL","['Hesitant in decision-making', 'Struggles with team dynamics']",Offer declined,TPS2,2022,AppSWE03,5.0,"['Coding and Algorithm', 'System design']","Sunnyvale, CA",Mid-senior
Terry Shaffer,"['Utilized reinforcement learning to enhance recommendation engine', 'Designed algorithms to increase personalized content relevance by 25%']","Data Science, Machine Learning, JavaScript, React, Python","['Tends to give up on difficult tasks', 'Resistant to constructive feedback']",Cultural fit issues,Applied,2025,SWE,3.5,['SQL'],"Seattle, WA",Mid-senior
Kevin White,['Leveraged federated learning for secure multi-organization data sharing'],"Azure Data Factory, Machine Learning, Java, Docker, Django","['Shows initiative and ownership', 'Positively accepts and applies feedback', 'Requires extra support in learning']",Other,Onsite,2025,ML02,3.1,"['Coding and Algorithm', 'Technical Writing', 'Data Analysis']","New York, NY",Entry-level
Tina Valenzuela,"['Leveraged federated learning for secure multi-organization data sharing', 'Built scalable NLP pipeline for sentiment analysis with 92% accuracy']","Machine Learning, PyTorch",['Prefers structured environments'],Other,Rejected,2025,DS001,5.0,"['Product and UI', 'Technical Writing', 'System design']","Austin, TX",Mid-senior
David Baker,['Enhanced search algorithms to reduce query response time by 50%'],"PyTorch, React, Flask",['Tends to give up on difficult tasks'],Lack of required skills,Rejected,2019,SWE,3.5,['Data Analysis'],"San Francisco, CA",Mid-senior
Amanda Thomas,"['Designed algorithms to increase personalized content relevance by 25%', 'Enhanced search algorithms to reduce query response time by 50%']","TensorFlow, C++, Data Science","['Requires extra support in learning', 'Quick to learn new tools and processes']",Job closed,Phone Screen,2021,ML02,3.5,"['SQL', 'Technical Writing', 'System design']","Mountain View, CA",Sr-Staff
Alexander Swanson II,"['Created a customer segmentation model, boosting revenue by 32%', 'Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","Azure Data Factory, Flask, AWS, React, Python","['Strong attention to detail', 'Tends to give up on difficult tasks', 'Confident in stakeholder interactions']",Other,Phone Screen,2021,SWE01,5.0,"['Data Analysis', 'Product and UI', 'Technical Writing']","Austin, TX",Senior
Michael Estes,"['Created a customer segmentation model, boosting revenue by 32%', 'Designed algorithms to increase personalized content relevance by 25%']","Java, Docker, Azure Data Factory, Flask","['Composed under pressure', 'Prefers structured environments', 'Collaborative team player']",Location mismatch,Onsite,2023,DS001,2.5,"['Product and UI', 'System design']","Seattle, WA",Entry-level
Andrew Henderson,['Utilized reinforcement learning to enhance recommendation engine'],"React, AWS, TensorFlow","['Strong attention to detail', 'Prefers structured environments', 'Shows initiative and ownership']",Job closed,Additional Onsite,2020,DS003,2.0,"['SQL', 'Coding and Algorithm']","Sunnyvale, CA",Entry-level
Mr. John Williams,['Leveraged federated learning for secure multi-organization data sharing'],"PyTorch, Python, TensorFlow, Java","['Needs guidance to take initiative', 'Composed under pressure']",Other,Additional Onsite,2024,ML09,5.0,"['Technical Writing', 'Coding and Algorithm']","Mountain View, CA",Mid-senior
Philip Atkinson,"['Leveraged federated learning for secure multi-organization data sharing', 'Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","Data Science, C++, AWS, React",['Positively accepts and applies feedback'],Lack of required skills,Phone Screen,2018,ML09,3.5,"['System design', 'Technical Writing', 'Data Analysis']",Remote,Mid-senior
Katherine Hoffman,"['Created a customer segmentation model, boosting revenue by 32%', 'Optimized deep learning models for real-time predictions in search']","Python, C++, JavaScript","['Prone to overlook minor details', 'Shows initiative and ownership', 'Confident in stakeholder interactions']",Location mismatch,TPS1,2023,SWE01,2.0,"['Data Analysis', 'Coding and Algorithm']","New York, NY",Staff
Tara Ramirez,['Enhanced search algorithms to reduce query response time by 50%'],"Data Science, Django","['Hesitant in decision-making', 'Persistent and resilient']",Job closed,Additional Onsite,2023,ML02,4.2,['Coding and Algorithm'],"San Francisco, CA",Manager
Kristy Cruz,['Built scalable NLP pipeline for sentiment analysis with 92% accuracy'],"Django, Java, JavaScript","['Quick to learn new tools and processes', 'Struggles with team dynamics']",Better candidate found,TPS1,2018,DS003,4.2,['System design'],"New York, NY",Sr-Staff
Wendy Anderson,"['Optimized deep learning models for real-time predictions in search', 'Implemented collaborative filtering and matrix factorization techniques']","JavaScript, TensorFlow, Python",['Hesitant in decision-making'],Other,Phone Screen,2019,DS003,1.2,['Product and UI'],"Seattle, WA",Manager
Daniel Davis,['Optimized deep learning models for real-time predictions in search'],"Java, SQL, AWS, Machine Learning, PyTorch",['Persistent and resilient'],Salary mismatch,Applied,2025,DS003,4.2,"['SQL', 'Technical Writing']",Remote,Sr-Staff
Allen Smith,['Built scalable NLP pipeline for sentiment analysis with 92% accuracy'],"Django, Data Science, React, C++, Java","['Easily flustered in high-stress situations', 'Needs guidance to take initiative']",Location mismatch,TPS1,2020,DS003,3.1,['SQL'],"Mountain View, CA",Entry-level
Joseph Austin,['Designed algorithms to increase personalized content relevance by 25%'],"Machine Learning, SQL, Docker, TensorFlow","['Prefers structured environments', 'Collaborative team player', 'Quick to learn new tools and processes']",Better candidate found,Phone Screen,2024,AIC01,2.5,['System design'],"Mountain View, CA",Sr-Staff
Maria Harris,"['Enhanced search algorithms to reduce query response time by 50%', 'Developed recommendation algorithms, improving user engagement by 30%']","PyTorch, Azure Data Factory, JavaScript","['Needs guidance to take initiative', 'Struggles with team dynamics']",Location mismatch,Phone Screen,2022,SWE,2.0,"['System design', 'Data Analysis', 'Product and UI']","Mountain View, CA",Staff
Cory York,"['Optimized deep learning models for real-time predictions in search', 'Enhanced search algorithms to reduce query response time by 50%']","JavaScript, SQL, AWS","['Tends to give up on difficult tasks', 'Persistent and resilient']",Offer declined,TPS1,2023,DS003,4.0,['Technical Writing'],"San Francisco, CA",Mid-senior
Richard Miller,['Designed algorithms to increase personalized content relevance by 25%'],"AWS, Django, Data Science, SQL, Docker","['Prefers structured environments', 'Adaptable to ambiguity']",Insufficient experience,Applied,2018,SWE,1.2,"['Data Analysis', 'System design']","Sunnyvale, CA",Sr-Staff
Kevin Williams,"['Created a customer segmentation model, boosting revenue by 32%']","PyTorch, Machine Learning, JavaScript, Docker, SQL","['Needs guidance to take initiative', 'Prone to overlook minor details']",Job closed,Phone Screen,2020,ML09,3.0,"['Technical Writing', 'Data Analysis', 'System design']","Mountain View, CA",Entry-level
Donna Franco,['Built scalable NLP pipeline for sentiment analysis with 92% accuracy'],"PyTorch, Python, Django, TensorFlow","['Shows initiative and ownership', 'Prone to overlook minor details']",Location mismatch,TPS1,2021,ML09,5.0,"['Coding and Algorithm', 'System design']","Mountain View, CA",Senior
Samantha Miller,"['Implemented collaborative filtering and matrix factorization techniques', 'Created a customer segmentation model, boosting revenue by 32%']","Docker, SQL, Python","['Positively accepts and applies feedback', 'Requires extra support in learning']",Job closed,TPS2,2024,AIC01,2.0,"['Product and UI', 'SQL']",Remote,Staff
Deborah Mills,"['Enhanced search algorithms to reduce query response time by 50%', 'Developed recommendation algorithms, improving user engagement by 30%']","Machine Learning, AWS","['Shows initiative and ownership', 'Prone to overlook minor details', 'Persistent and resilient']",Location mismatch,Additional Onsite,2020,DS003,3.0,['System design'],"Sunnyvale, CA",Mid-senior
Paul Wood,['Built scalable NLP pipeline for sentiment analysis with 92% accuracy'],"SQL, Azure Data Factory, TensorFlow",['Strong attention to detail'],Other,Additional Onsite,2020,AppSWE03,3.0,['Data Analysis'],"New York, NY",Senior
Suzanne Perez,"['Created a customer segmentation model, boosting revenue by 32%']","AWS, Java, PyTorch","['Composed under pressure', 'Needs guidance to take initiative']",Location mismatch,TPS2,2022,AppSWE03,5.0,"['Coding and Algorithm', 'Technical Writing', 'System design']","Austin, TX",Entry-level
Karl Dominguez,['Implemented collaborative filtering and matrix factorization techniques'],"PyTorch, TensorFlow",['Resistant to constructive feedback'],Salary mismatch,Rejected,2020,AIC01,2.0,"['System design', 'Coding and Algorithm', 'Technical Writing']","Mountain View, CA",Staff
Dave Jones,['Built scalable NLP pipeline for sentiment analysis with 92% accuracy'],"AWS, TensorFlow, SQL","['Composed under pressure', 'Collaborative team player', 'Requires extra support in learning']",Other,Applied,2021,ML02,3.5,"['Coding and Algorithm', 'SQL']","San Francisco, CA",Manager
Kimberly Hardin,['Enhanced search algorithms to reduce query response time by 50%'],"Azure Data Factory, SQL, Django, JavaScript",['Composed under pressure'],Job closed,Phone Screen,2021,DS001,3.0,['Coding and Algorithm'],"New York, NY",Senior
Ronald Estes,['Utilized reinforcement learning to enhance recommendation engine'],"Machine Learning, TensorFlow, Django","['Prone to overlook minor details', 'Resistant to constructive feedback', 'Composed under pressure']",Cultural fit issues,Additional Onsite,2018,ML09,3.5,"['Coding and Algorithm', 'Data Analysis', 'System design']","Seattle, WA",Senior
Robert Terry,['Designed algorithms to increase personalized content relevance by 25%'],"Django, React, Machine Learning, Java, C++","['Resistant to constructive feedback', 'Prone to overlook minor details']",Other,Onsite,2024,ML09,2.0,['System design'],Remote,Entry-level
Tasha Johnson,"['Optimized deep learning models for real-time predictions in search', 'Leveraged federated learning for secure multi-organization data sharing']","Docker, Flask, AWS","['Struggles with team dynamics', 'Persistent and resilient', 'Prefers structured environments']",Cultural fit issues,TPS1,2025,AIC01,3.5,"['System design', 'SQL', 'Coding and Algorithm']","Mountain View, CA",Entry-level
Stephen Moore,"['Built scalable NLP pipeline for sentiment analysis with 92% accuracy', 'Developed recommendation algorithms, improving user engagement by 30%']","SQL, TensorFlow, Flask, Data Science, Java","['Confident in stakeholder interactions', 'Persistent and resilient', 'Needs guidance to take initiative']",Salary mismatch,Onsite,2024,DS003,2.5,['SQL'],"Austin, TX",Mid-senior
Michael Smith,"['Enhanced search algorithms to reduce query response time by 50%', 'Created a customer segmentation model, boosting revenue by 32%']","Python, SQL, Java, C++, Data Science","['Tends to give up on difficult tasks', 'Struggles with team dynamics', 'Composed under pressure']",Offer declined,Applied,2024,ML02,2.5,['Data Analysis'],"New York, NY",Mid-senior
Sandra Dunn,['Optimized deep learning models for real-time predictions in search'],"Django, JavaScript, React, Machine Learning",['Prone to overlook minor details'],Salary mismatch,Onsite,2020,DS001,4.0,"['System design', 'SQL']",Remote,Mid-senior
Tyler Rangel,['Optimized deep learning models for real-time predictions in search'],"C++, Flask",['Collaborative team player'],Cultural fit issues,TPS1,2023,SWE01,2.0,"['SQL', 'Product and UI', 'Coding and Algorithm']",Remote,Staff
Kevin Brady,"['Developed recommendation algorithms, improving user engagement by 30%', 'Created a customer segmentation model, boosting revenue by 32%']","Machine Learning, Docker, SQL, JavaScript, Java",['Prefers structured environments'],Job closed,TPS2,2025,DS001,3.1,"['System design', 'SQL', 'Technical Writing']","New York, NY",Staff
Emily Perez,"['Enhanced search algorithms to reduce query response time by 50%', 'Optimized deep learning models for real-time predictions in search']","C++, Docker",['Resistant to constructive feedback'],Better candidate found,TPS2,2024,AppSWE03,2.5,"['System design', 'Product and UI', 'SQL']","New York, NY",Entry-level
Alexis Cervantes,"['Created a customer segmentation model, boosting revenue by 32%']","React, AWS, Azure Data Factory, Docker","['Adaptable to ambiguity', 'Confident in stakeholder interactions', 'Collaborative team player']",Better candidate found,Applied,2022,AIC01,4.2,['Data Analysis'],"Sunnyvale, CA",Entry-level
Larry Miller,"['Created a customer segmentation model, boosting revenue by 32%', 'Implemented collaborative filtering and matrix factorization techniques']","React, Docker, Machine Learning, PyTorch",['Adaptable to ambiguity'],Better candidate found,Applied,2018,DS001,3.5,"['Data Analysis', 'Technical Writing']","Seattle, WA",Sr-Staff
Sarah Stephens,"['Implemented collaborative filtering and matrix factorization techniques', 'Leveraged federated learning for secure multi-organization data sharing']","Docker, JavaScript, Java","['Resistant to constructive feedback', 'Confident in stakeholder interactions']",Offer declined,Phone Screen,2023,DS003,3.1,['Coding and Algorithm'],"New York, NY",Staff
Michael Miller,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","AWS, SQL, Docker, Flask, Python",['Quick to learn new tools and processes'],Lack of required skills,TPS1,2025,ML09,4.2,['System design'],"Austin, TX",Staff
Jennifer Reeves,"['Utilized reinforcement learning to enhance recommendation engine', 'Developed recommendation algorithms, improving user engagement by 30%']","Django, Java, Azure Data Factory, Flask",['Prone to overlook minor details'],Job closed,Onsite,2022,DS003,3.5,"['SQL', 'Data Analysis', 'Product and UI']","San Francisco, CA",Entry-level
James Clay,"['Optimized deep learning models for real-time predictions in search', 'Built scalable NLP pipeline for sentiment analysis with 92% accuracy']","Docker, Flask","['Adaptable to ambiguity', 'Composed under pressure']",Lack of required skills,Phone Screen,2025,SWE01,2.0,['Data Analysis'],"New York, NY",Mid-senior
Sherry Vargas,"['Created a customer segmentation model, boosting revenue by 32%', 'Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","Python, Azure Data Factory, Django, Java, SQL","['Positively accepts and applies feedback', 'Confident in stakeholder interactions', 'Resistant to constructive feedback']",Lack of required skills,Additional Onsite,2021,SWE,3.5,"['Coding and Algorithm', 'Data Analysis']",Remote,Entry-level
Allen Doyle,"['Optimized deep learning models for real-time predictions in search', 'Designed algorithms to increase personalized content relevance by 25%']","JavaScript, AWS","['Needs guidance to take initiative', 'Tends to give up on difficult tasks']",Other,Phone Screen,2021,AppSWE03,3.0,"['System design', 'Product and UI']","New York, NY",Staff
Ernest Gardner,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)', 'Created a customer segmentation model, boosting revenue by 32%']","Python, TensorFlow, JavaScript, Docker","['Requires extra support in learning', 'Confident in stakeholder interactions']",Offer declined,Applied,2023,DS003,3.0,"['Technical Writing', 'System design', 'SQL']","New York, NY",Manager
Teresa Kline,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)', 'Developed recommendation algorithms, improving user engagement by 30%']","TensorFlow, Machine Learning, C++","['Collaborative team player', 'Strong attention to detail', 'Tends to give up on difficult tasks']",Job closed,Additional Onsite,2018,SWE,3.0,"['Technical Writing', 'Coding and Algorithm']","Seattle, WA",Staff
Benjamin Thompson,"['Created a customer segmentation model, boosting revenue by 32%', 'Leveraged federated learning for secure multi-organization data sharing']","JavaScript, C++, Java",['Prone to overlook minor details'],Insufficient experience,Onsite,2018,AIC01,3.5,"['Technical Writing', 'Data Analysis']","Mountain View, CA",Manager
Rebecca Wilson,"['Leveraged federated learning for secure multi-organization data sharing', 'Enhanced search algorithms to reduce query response time by 50%']","Python, Java, Machine Learning","['Adaptable to ambiguity', 'Resistant to constructive feedback', 'Positively accepts and applies feedback']",Insufficient experience,TPS2,2019,ML09,2.5,['Data Analysis'],"San Francisco, CA",Senior
Tracy Salazar,['Leveraged federated learning for secure multi-organization data sharing'],"Django, AWS, Python","['Prefers structured environments', 'Requires extra support in learning']",Better candidate found,Phone Screen,2018,DS001,4.2,"['Data Analysis', 'Product and UI']","Seattle, WA",Manager
Ian Whitaker,"['Utilized reinforcement learning to enhance recommendation engine', 'Built scalable NLP pipeline for sentiment analysis with 92% accuracy']","JavaScript, Machine Learning, SQL, Azure Data Factory","['Needs guidance to take initiative', 'Collaborative team player', 'Struggles with team dynamics']",Location mismatch,Additional Onsite,2021,AppSWE03,2.0,['Product and UI'],"San Francisco, CA",Staff
James Crawford,['Optimized deep learning models for real-time predictions in search'],"JavaScript, C++, Machine Learning, Data Science, SQL",['Easily flustered in high-stress situations'],Insufficient experience,TPS1,2025,AppSWE03,5.0,"['Technical Writing', 'SQL', 'Product and UI']","Seattle, WA",Staff
John Mason,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)', 'Built scalable NLP pipeline for sentiment analysis with 92% accuracy']","Machine Learning, AWS","['Composed under pressure', 'Collaborative team player']",Offer declined,Phone Screen,2023,SWE01,3.5,"['SQL', 'Product and UI']","Sunnyvale, CA",Manager
Stephen Spencer,"['Designed algorithms to increase personalized content relevance by 25%', 'Implemented collaborative filtering and matrix factorization techniques']","Python, Azure Data Factory, Machine Learning, SQL",['Positively accepts and applies feedback'],Better candidate found,Offered,2022,AppSWE03,4.0,['SQL'],"Austin, TX",Senior
Timothy Morton,['Built scalable NLP pipeline for sentiment analysis with 92% accuracy'],"AWS, JavaScript","['Resistant to constructive feedback', 'Easily flustered in high-stress situations', 'Struggles with team dynamics']",Salary mismatch,Offered,2022,DS001,1.2,['Product and UI'],"Seattle, WA",Sr-Staff
Debra Chandler,"['Leveraged federated learning for secure multi-organization data sharing', 'Utilized reinforcement learning to enhance recommendation engine']","JavaScript, React, Python, C++, Flask","['Collaborative team player', 'Persistent and resilient']",Insufficient experience,TPS2,2022,ML09,2.5,"['Data Analysis', 'System design', 'Coding and Algorithm']","Sunnyvale, CA",Mid-senior
Mitchell Elliott,['Utilized reinforcement learning to enhance recommendation engine'],"Azure Data Factory, PyTorch, Docker","['Prone to overlook minor details', 'Persistent and resilient']",Better candidate found,Applied,2018,AppSWE03,1.2,"['System design', 'Product and UI', 'SQL']","Austin, TX",Sr-Staff
Dr. Jennifer Hughes,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","PyTorch, React, Java","['Struggles with team dynamics', 'Needs guidance to take initiative', 'Prone to overlook minor details']",Insufficient experience,Additional Onsite,2024,SWE,1.2,"['Data Analysis', 'Coding and Algorithm', 'Technical Writing']","New York, NY",Staff
